Satellite,Code,jd_tdb,x_km,y_km,z_km
Phobos,401,2459590.000000,-618.724439,9385.457698,993.773151
Phobos,401,2459597.000000,2000.542361,9192.317899,-286.140922
Phobos,401,2459604.000000,4430.301423,8101.027006,-1536.736223
Phobos,401,2459611.000000,6425.425496,6202.496628,-2632.486093
Phobos,401,2459618.000000,7775.592808,3674.308637,-3458.686556
Phobos,401,2459625.000000,8332.141137,766.529521,-3926.119688
Phobos,401,2459632.000000,8029.072716,-2222.888414,-3982.812558
Phobos,401,2459639.000000,6894.666565,-4981.855957,-3622.061592
Phobos,401,2459646.000000,5050.119553,-7224.266629,-2883.826669
Phobos,401,2459653.000000,2692.169978,-8725.583440,-1849.004324
Phobos,401,2459660.000000,66.456224,-9345.721594,-628.141267
Phobos,401,2459667.000000,-2561.790794,-9039.517509,652.783461
Phobos,401,2459674.000000,-4937.226716,-7854.535395,1866.659671
Phobos,401,2459681.000000,-6838.003519,-5918.508869,2897.825736
Phobos,401,2459688.000000,-8091.471091,-3422.837110,3650.323532
Phobos,401,2459695.000000,-8584.326932,-605.102935,4054.529003
Phobos,401,2459702.000000,-8270.259611,2270.593090,4072.129614
Phobos,401,2459709.000000,-7173.351027,4933.485438,3698.654176
Phobos,401,2459716.000000,-5388.027807,7126.321742,2964.956493
Phobos,401,2459723.000000,-3076.233197,8627.108412,1936.707781
Phobos,401,2459730.000000,-457.293977,9273.266322,711.483713
Phobos,401,2459737.000000,2210.524641,8983.388525,-589.565673
Phobos,401,2459744.000000,4654.336945,7772.273343,-1832.822412
Phobos,401,2459751.000000,6617.835750,5756.108012,-2886.928331
Phobos,401,2459758.000000,7894.933992,3142.738237,-3639.927057
Phobos,401,2459765.000000,8356.538314,205.689467,-4013.575204
Phobos,401,2459772.000000,7964.105940,-2749.786779,-3972.633210
Phobos,401,2459779.000000,6771.373922,-5423.962474,-3527.160317
Phobos,401,2459786.000000,4912.326665,-7556.625883,-2728.478439
Phobos,401,2459793.000000,2580.210369,-8951.178267,-1660.675954
Phobos,401,2459800.000000,5.633761,-9486.720049,-430.462676
Phobos,401,2459807.000000,-2565.405687,-9123.228311,843.324854
Phobos,401,2459814.000000,-4892.300089,-7900.793321,2040.549809
Phobos,401,2459821.000000,-6757.895229,-5933.689621,3048.184082
Phobos,401,2459828.000000,-7983.712246,-3402.084668,3768.669968
Phobos,401,2459835.000000,-8444.822551,-541.059461,4128.164546
Phobos,401,2459842.000000,-8083.888731,2376.636444,4084.340017
Phobos,401,2459849.000000,-6921.237802,5063.335007,3632.629753
Phobos,401,2459856.000000,-5059.508421,7242.876294,2809.659490
Phobos,401,2459863.000000,-2679.456100,8682.360898,1693.564985
Phobos,401,2459870.000000,-23.353696,9224.324457,396.922663
Phobos,401,2459877.000000,2632.957343,8808.906478,-945.905427
Phobos,401,2459884.000000,5013.331571,7482.543420,-2194.906968
Phobos,401,2459891.000000,6875.480712,5391.681377,-3221.885145
Phobos,401,2459898.000000,8039.684358,2760.176322,-3925.423970
Phobos,401,2459905.000000,8404.151937,-141.130589,-4240.918645
Phobos,401,2459912.000000,7949.105780,-3024.599829,-4143.861516
Phobos,401,2459919.000000,6732.632212,-5614.279998,-3649.374856
Phobos,401,2459926.000000,4879.994008,-7669.718466,-2807.977939
Phobos,401,2459933.000000,2569.491473,-9002.368682,-1699.599920
Phobos,401,2459940.000000,17.880607,-9487.528807,-427.412333
Phobos,401,2459947.000000,-2535.076749,-9073.973711,890.269882
Phobos,401,2459954.000000,-4845.462120,-7790.007606,2128.668094
Phobos,401,2459961.000000,-6685.153692,-5745.217265,3166.427664
Phobos,401,2459968.000000,-7862.523198,-3127.418335,3896.215960
Phobos,401,2459975.000000,-8245.769013,-190.629608,4237.575135
Phobos,401,2459982.000000,-7783.120980,2768.428723,4148.545116
Phobos,401,2459989.000000,-6513.902375,5443.002360,3632.407681
Phobos,401,2459996.000000,-4567.853238,7552.585512,2740.037196
Phobos,401,2460003.000000,-2150.823274,8879.480817,1564.526139
Phobos,401,2460010.000000,483.090174,9295.468362,228.606913
Phobos,401,2460017.000000,3063.665308,8772.737677,-1131.337930
Phobos,401,2460024.000000,5334.565185,7380.635075,-2380.626387
Phobos,401,2460031.000000,7079.817960,5271.733818,-3400.023756
Phobos,401,2460038.000000,8141.402668,2660.127664,-4096.488566
Phobos,401,2460045.000000,8427.951262,-201.387084,-4408.554501
Phobos,401,2460052.000000,7918.148106,-3042.805972,-4309.603987
Phobos,401,2460059.000000,6660.605727,-5597.678371,-3808.675849
Phobos,401,2460066.000000,4769.461877,-7623.932738,-2949.452519
Phobos,401,2460073.000000,2417.409083,-8922.021697,-1808.427727
Phobos,401,2460080.000000,-174.238124,-9353.169060,-490.482869
Phobos,401,2460087.000000,-2752.309109,-8857.738994,878.213561
Phobos,401,2460094.000000,-5055.510141,-7468.235755,2161.801196
Phobos,401,2460101.000000,-6842.416214,-5312.552223,3228.227926
Phobos,401,2460108.000000,-7920.931795,-2606.359411,3964.896672
Phobos,401,2460115.000000,-8175.050521,369.686893,4294.359003
Phobos,401,2460122.000000,-7580.888186,3305.608094,4184.182171
Phobos,401,2460129.000000,-6207.929091,5900.016763,3650.167323
Phobos,401,2460136.000000,-4207.597920,7894.704724,2752.609851
Phobos,401,2460143.000000,-1790.952452,9102.379076,1587.260724
Phobos,401,2460150.000000,798.277857,9420.698758,272.088657
Phobos,401,2460157.000000,3308.826933,8834.504605,-1065.692967
Phobos,401,2460164.000000,5503.787678,7411.209507,-2300.401979
Phobos,401,2460171.000000,7179.113086,5290.716980,-3318.216460
Phobos,401,2460178.000000,8178.176858,2671.679156,-4025.292707
Phobos,401,2460185.000000,8402.157004,-202.670643,-4354.406986
Phobos,401,2460192.000000,7819.399559,-3060.834335,-4270.219993
Phobos,401,2460199.000000,6472.595156,-5624.764979,-3774.416137
Phobos,401,2460206.000000,4480.046555,-7635.086448,-2908.509311
Phobos,401,2460213.000000,2030.214118,-8878.120820,-1752.628699
Phobos,401,2460220.000000,-632.370607,-9213.248956,-420.726549
Phobos,401,2460227.000000,-3232.781343,-8595.585521,951.370164
Phobos,401,2460234.000000,-5499.500996,-7085.273104,2221.856626
Phobos,401,2460241.000000,-7197.214074,-4841.873268,3259.853308
Phobos,401,2460248.000000,-8155.533154,-2104.123893,3961.646008
Phobos,401,2460255.000000,-8288.049227,842.280387,4262.433435
Phobos,401,2460262.000000,-7596.308534,3700.540235,4141.188807
